,0,1,2,3,4,5,6,7,8,9,10,11
2016-07-19,8.46,5.676666666666667,6.0,6.54,9.8125,9.4,5.746666666666666,5.89,6.3933333333333335,6.886,7.74,6.54
2016-07-20,8.82,5.630000000000001,9.323333333333332,9.336666666666668,8.725,6.145,7.104833333333334,7.467085714285714,8.666666666666666,6.39,9.66,7.546666666666667
2016-07-21,8.016,5.79,13.51,6.286666666666666,9.2195,7.166666666666667,7.675,6.01,8.476111111111111,9.06,7.795,8.734
2016-07-22,6.65,5.1,8.593333333333334,5.03,9.052428571428573,5.35,5.942499999999999,8.99,5.72,7.428,7.4,9.353333333333333
2016-07-23,7.59575,6.3,6.984999999999999,6.396666666666667,10.9,7.0600000000000005,7.2700000000000005,9.474,16.93,7.380000000000001,6.793333333333334,7.2
2016-07-24,9.09,6.243333333333333,5.21,5.13,10.79,7.0252083333333335,8.89,6.971428571428571,6.32,7.32,5.923333333333335,6.08
2016-07-25,7.06,6.5200000000000005,9.78,6.779999999999999,5.87,6.359999999999999,7.406666666666666,7.849999999999999,6.826666666666667,6.386,7.3100000000000005,6.8
2016-07-26,5.96,6.519166666666667,7.858333333333333,7.313958333333334,8.05,6.18,7.287083333333333,7.8100000000000005,6.08,6.529999999999999,9.567499999999999,7.645
2016-07-27,6.71,5.88,7.23,7.989999999999999,9.41047619047619,11.52,6.902500000000001,6.82,9.7,7.6933333333333325,6.73,6.86
2016-07-28,7.3235714285714275,8.72,7.747395833333333,5.3,15.46,6.42,7.605,7.220595238095237,6.31,8.7025,5.77,7.904999999999999
2016-07-29,7.0712244897959184,7.6066666666666665,8.39,13.09,8.686972789115645,7.742291666666667,7.4799999999999995,6.776666666666667,6.823333333333333,6.31,5.37,6.936249999999999
2016-07-30,9.64,5.783333333333334,8.82,8.795,9.53,9.716666666666667,6.8,5.63,9.066666666666668,5.31,7.133333333333333,7.543333333333334
2016-07-31,5.64,6.323333333333333,8.237499999999999,8.506666666666666,5.273333333333333,9.026666666666667,6.803958333333333,8.48,6.023333333333333,6.56,10.02,6.72
2016-08-01,7.165000000000001,5.35,6.453333333333333,4.41,8.611472303206996,9.625,5.1,7.426666666666667,5.983333333333334,3.6950000000000003,5.53,6.256666666666667
