,0,1,2,3,4,5,6,7,8,9,10,11
2016-07-19,11.94,8.34,10.515,4.75,7.3,8.06,8.456666666666667,9.969999999999999,9.714166666666667,8.36,8.7,8.33
2016-07-20,8.8575,10.71875,11.133750000000001,16.89,11.655000000000001,14.11,10.925,9.03,9.537500000000001,9.339999999999998,11.17,8.59
2016-07-21,9.62,17.59,11.133750000000001,9.853333333333333,11.235666666666665,9.6365,9.22736111111111,7.817499999999999,10.07388888888889,14.350000000000001,7.891999999999999,10.59
2016-07-22,8.77625,10.71875,14.28,10.0,14.89,8.927499999999998,9.6025,9.77,7.17,8.83,8.65,6.6
2016-07-23,7.22,7.1850000000000005,9.81,9.655000000000001,10.50175,8.47,9.4,9.42,12.434999999999999,9.861999999999998,10.594285714285714,9.686333333333332
2016-07-24,6.65,9.76,9.93,8.5,10.363333333333333,8.83425,8.07,6.396666666666666,12.98,10.273333333333333,11.21,8.558
2016-07-25,8.286041666666666,10.73175,11.2884375,10.796666666666667,11.969999999999999,8.615,8.91,9.19,8.606666666666667,7.433333333333334,8.668333333333333,10.09561904761905
2016-07-26,8.37,9.16925,11.3076875,10.963095238095239,9.66,4.4,8.97,8.413333333333334,8.813333333333334,10.04,8.145,9.768119047619047
2016-07-27,7.9212083333333325,8.911000000000001,10.1376875,12.95,6.94,6.95,8.14,7.99,10.520520833333334,10.675,7.6825,15.45
2016-07-28,9.021208333333332,9.035285714285713,10.192302083333333,10.395204081632654,5.55,9.565,8.492142857142857,8.17,11.246666666666668,8.670000000000002,11.34,7.775
2016-07-29,9.08,8.405000000000001,9.249444940476192,12.42,9.88,8.487619047619047,7.27,7.215,8.379999999999999,9.21,10.609479166666667,12.01
2016-07-30,9.253736111111111,8.215,11.23,12.42,10.89,7.423333333333333,8.715059523809524,9.25,12.3425,8.245,13.55,7.97
2016-07-31,9.135164682539683,8.524257142857143,7.26,4.716666666666666,7.665,9.081369047619049,7.855,8.9425,9.36,9.695,15.61,8.25
2016-08-01,13.82,8.055,8.354535289115645,9.757317176870748,8.611190476190476,8.14,10.23,9.8075,10.1525,6.07,8.796666666666667,7.85
2016-08-02,9.342362599206348,9.26385142857143,3.33,9.073333333333332,7.73,14.32,10.36,9.705,7.305,12.0175,11.083333333333334,9.032399999999999
2016-08-03,7.31,9.435621714285713,7.887790755587949,9.98,7.973333333333333,8.175,8.403333333333334,8.475,8.426666666666668,9.0275,10.4725,9.081999999999999
2016-08-04,7.54,9.679746057142857,7.75,11.0,10.59,9.59,11.356666666666667,6.66,8.84,8.22,7.53,9.098233333333333
2016-08-05,11.969999999999999,13.120000000000001,9.47,8.053333333333333,8.917440476190476,11.616666666666667,8.635,7.34,8.883333333333333,9.7,9.595595238095239,8.857876190476192
2016-08-06,6.63,10.3748048,7.82,10.658,9.095,11.945,14.94,12.99,8.99,9.0,7.88,9.001858503401362
2016-08-07,7.204285714285715,10.166034514285716,9.209723844448492,5.05,10.579999999999998,8.01,10.204444444444446,8.386666666666667,7.9366666666666665,9.655000000000001,9.416666666666666,10.255
2016-08-08,4.31,10.312117074285714,10.47,12.356666666666667,10.235,11.91,8.666666666666666,10.045,12.098333333333334,13.54,9.081324404761906,10.12
2016-08-09,4.27,10.438591277714286,9.11,7.4,6.525,10.743611111111113,9.225,13.476666666666667,8.54,16.98,11.989999999999998,6.5675
2016-08-10,8.4,9.68414683326984,14.73,11.9,9.0,10.364801587301587,10.174222222222223,9.708333333333332,9.67,11.038541666666667,8.196666666666667,8.995538367346938
2016-08-11,6.0460714285714285,8.22,6.44,5.2,9.374722222222223,9.88,8.702555555555556,6.77,9.612142857142857,8.8,7.335,9.033333333333333
2016-08-12,5.756517857142857,9.644026931229025,9.179444444444444,9.54,8.759007936507938,11.1,8.236206349206348,9.381666666666666,8.85,8.64,10.706666666666669,8.26439528344671
2016-08-13,6.118147321428571,9.45751229694331,8.845158730158731,9.613333333333332,10.933333333333335,9.853344671201814,8.174712018140589,9.54,12.37,11.96,9.093809523809524,7.661538140589569
2016-08-14,6.998147321428571,8.593333333333334,6.786666666666666,8.479999999999999,8.975000000000001,8.965,7.835000000000001,6.75,9.509591836734694,9.733333333333333,8.14,7.748100640589568
2016-08-15,6.883147321428571,12.26,7.547324263038549,15.16,8.937437641723358,9.50690638160026,6.11,8.110416666666666,7.82,8.07,8.235,8.28
2016-08-16,7.022659970238095,8.0,7.54,10.698333333333332,6.27,9.44,6.94,9.005416666666667,9.133073979591837,9.317619047619047,9.053333333333333,6.59
2016-08-17,7.5645859906462585,8.82,8.13,10.987916666666665,9.01,8.48,9.192452003023432,8.930166666666667,7.484999999999999,9.195,8.832925170068027,5.9
2016-08-18,8.67,8.50388888888889,7.6306651549508695,11.331562499999999,8.67540627362056,9.315317730266711,9.443207429003348,8.8082,10.76,9.26156462585034,9.67,7.26
2016-08-19,7.71,6.48,5.91,12.044453125,9.24,8.83,9.672951347432399,9.317366666666667,6.779999999999999,7.595,8.757084548104956,8.479999999999999
2016-08-20,8.162874326814059,7.7347777777777775,9.87,11.050453124999999,9.62,9.60921962171112,13.325,11.245000000000001,9.49,10.03,8.375,12.65
2016-08-21,9.55,7.681733333333334,7.654133030990176,11.120877083333331,9.13635156840514,10.67,12.77,9.667961904761906,9.225,9.406927437641723,9.263333333333334,7.88
2016-08-22,8.510574865362813,6.87,8.134133030990174,11.147469166666665,9.64235156840514,11.207422891996307,9.93,9.270441071428571,7.93,10.89,7.87,9.937857142857142
2016-08-23,8.537797087585036,7.415302222222223,8.218044343663392,11.1106505,9.621450522801714,11.522773752284571,10.478825224572068,9.805,8.5,9.583654572940288,9.790773983062612,8.615
2016-08-24,8.46,7.685302222222223,8.602718400940622,10.19,9.685025609935332,10.92,10.585546460653152,10.18,9.326428571428574,9.91509700176367,9.969999999999999,10.719693877551022
2016-08-25,8.778341057256236,8.357476825396825,6.73,11.29179935,9.695863211591222,11.585742377754412,10.38,9.39,9.54,9.47,7.5,11.87
2016-08-26,8.624009268707484,8.31,11.01,10.916653169444444,11.54,17.9,9.578671460653153,5.75,9.31607142857143,9.373125262450658,10.386154796612521,12.81
2016-08-27,8.833333333333334,8.718013544973545,8.640190686151005,10.878183836574074,8.55,11.801419355006496,6.795,9.983571428571429,8.55,10.11,16.8,11.275
2016-08-28,8.44513673185941,8.1,8.705381817418324,10.602019479431217,10.116844430971977,9.62,10.42,9.72,12.05,9.55208466308334,11.434830959322504,10.52781341107872
2016-08-29,8.51013673185941,12.44,8.458262083928222,12.89,10.495173495982755,9.26,8.82,12.31,10.847142857142856,9.718499377117102,11.267164292655837,9.585
2016-08-30,8.607516580822805,9.109602708994709,8.746305764582925,8.87,10.111002560993532,11.957481676565553,9.22,10.021904761904763,11.028392857142856,6.27,11.856592864084408,10.767226676384839
2016-08-31,8.61076542223437,9.26952325079365,8.369023392013412,10.5182433308579,10.374752560993533,11.108550487503491,7.78,12.73,10.44,9.939802822069451,11.630823514507842,7.1
2016-09-01,7.53,9.380687659964726,8.544,9.1775,11.113333333333332,11.606666666666667,12.717500000000001,9.35,13.301428571428572,12.174285714285714,12.517999999999999,10.335
2016-09-02,8.85,7.98,7.12,11.559999999999999,11.955,12.664285714285715,11.469999999999999,10.811666666666667,12.7325,11.08,8.964000000000002,11.19
2016-09-03,9.46,9.216401945679012,8.123865831319268,9.650000000000002,7.006666666666667,10.85,9.445833333333333,9.52,10.99,10.67375,11.626000000000001,13.315000000000001
2016-09-04,8.65,9.01186827372134,8.91614820388878,10.102820475836841,13.65,10.206396191890317,10.337499999999999,9.306666666666667,8.78,9.878262648050738,8.58,10.833333333333334
2016-09-05,8.428,9.385,8.751287719315437,10.66,10.723333333333334,8.68,5.15,12.14,8.21,9.716724795292055,14.35,6.78
2016-09-06,8.401333333333334,9.84,7.84,10.320019226146274,10.3275,7.41,9.085555555555556,8.5,9.049999999999999,8.0,13.75,12.19
2016-09-07,8.326555555555556,9.55,9.259537719315436,11.684,10.03,10.315,8.666626984126983,7.253333333333333,7.3,8.23,9.68,7.95
2016-09-08,7.65,7.473333333333334,13.5,7.47,10.247261904761904,9.016666666666667,9.55,9.272291666666666,6.4,9.049999999999999,8.23,7.976666666666667
2016-09-09,8.035177777777779,9.212708333333332,7.215,10.92,9.626845238095237,7.37,8.460335317460316,7.4,7.7299999999999995,8.6475,7.966666666666666,8.695
2016-09-10,7.37,10.14,9.26,10.513333333333334,8.6,9.405104166666666,8.56,8.22,8.705,6.93,8.95,9.3875
2016-09-11,8.058346666666669,8.47,10.47,9.21,8.254999999999999,11.5525,8.5375,10.643333333333333,9.155000000000001,8.935,10.18,8.863333333333332
2016-09-12,8.00470488888889,10.683333333333332,7.06,9.965,10.145,11.9,10.254999999999999,10.715,8.17,11.690000000000001,10.745000000000001,9.178
2016-09-13,7.808038222222223,8.16,8.506428571428572,10.15,8.686666666666667,10.756666666666666,7.878,10.353333333333333,8.25,8.1925,8.597999999999999,9.98
2016-09-14,7.760155682539683,13.48,9.385000000000002,9.390729166666667,10.36,6.92,7.22,8.74,9.456666666666667,9.811428571428573,9.622,8.416666666666666
2016-09-15,8.91,8.59,8.6,8.112499999999999,8.7275,6.46,8.21,8.496666666666668,8.0375,9.296,11.0,10.715
2016-09-16,7.712237349206349,9.778571428571427,7.555,9.29,9.17845238095238,6.71,8.465,10.49,8.61,9.506666666666668,8.399999999999999,10.383333333333333
2016-09-17,6.47,7.6,8.457261904761905,6.785,8.45,9.052499999999998,9.89,9.1,8.623437499999998,9.424,9.70625,9.52
2016-09-18,7.7,9.374821428571428,8.135000000000002,11.1,10.29,8.3125,9.14,9.102083333333335,8.59,8.557142857142859,9.934999999999999,9.645
2016-09-19,6.995,9.416666666666666,7.46,9.712,7.59,8.045,9.67,10.79,9.113333333333333,10.133333333333335,8.353333333333333,9.628
2016-09-20,8.05,10.52,8.836666666666666,9.616666666666667,8.491445578231291,8.911249999999999,8.93,8.46,7.5649999999999995,11.46,10.426666666666668,10.91
2016-09-21,7.952708333333334,7.723333333333334,9.18,9.075999999999999,8.145,9.75,8.39,8.12,9.364999999999998,9.803333333333333,11.315000000000001,7.823333333333334
2016-09-22,6.36,7.89,8.295,13.45,9.236666666666666,11.25,9.0,8.62,10.545,11.78,9.331666666666665,8.523333333333333
2016-09-23,11.02,7.25,7.09,9.45,6.550000000000001,8.669999999999998,8.376666666666667,8.78,5.9,7.046666666666667,7.6816666666666675,8.993333333333332
2016-09-24,6.873333333333332,10.825,6.93,7.063333333333333,7.78115889212828,9.5,9.256666666666666,7.583333333333333,8.336666666666666,7.880000000000001,7.843333333333334,8.567142857142859
2016-09-25,10.153333333333334,7.99,7.7,8.486666666666666,6.0,7.515,7.9433333333333325,9.335,9.653333333333334,8.122499999999999,9.61,8.841428571428573
2016-09-26,9.888095238095236,7.87,8.93,12.47,4.915,8.22,8.77,8.635,8.68,9.538,8.090000000000002,9.112
2016-09-27,9.33,9.39,10.256666666666666,11.493333333333334,8.327644861516035,8.336666666666666,10.2125,12.39,7.03,14.39,9.983333333333334,6.745
2016-09-28,11.18,8.3,8.63,10.583333333333334,11.13,7.75,11.143333333333333,8.45,11.706666666666669,11.11,8.299999999999999,9.588
2016-09-29,10.334970238095238,8.315523809523809,7.525,10.07,7.175000000000001,11.04,9.545,8.645,8.946000000000002,8.356666666666667,9.763333333333334,8.83
2016-09-30,14.3,8.567398809523809,8.96,5.25,13.79,8.892270833333333,6.75,8.063333333333334,7.523333333333333,8.675,8.836666666666666,8.264
2016-10-01,8.54,8.471999999999998,8.911874999999998,9.148947368421052,9.28,10.17,9.090909090909092,10.15181818181818,10.532499999999999,10.412727272727272,10.288181818181819,9.017777777777777
2016-10-02,9.563333333333334,7.586666666666667,8.610000000000001,9.102222222222222,8.635000000000002,8.325000000000001,7.759,8.133750000000001,8.834736842105265,9.845714285714289,8.183636363636364,9.211
2016-10-03,9.725,8.6,9.681666666666667,9.41,8.559999999999999,8.144,9.176666666666668,8.594999999999999,8.786153846153846,9.872857142857143,9.398333333333333,11.816666666666668
2016-10-04,9.215,10.005,9.345,9.923333333333334,10.23,9.1525,10.141428571428571,10.263636363636365,8.579,9.306666666666665,9.149999999999999,7.05
2016-10-05,9.9225,7.263333333333333,7.896666666666667,5.855,8.466666666666667,7.5183333333333335,8.035,8.161428571428571,8.516666666666666,10.156363636363634,9.496,8.841999999999999
2016-10-06,9.100972222222223,7.0875,7.52,9.226666666666667,9.012,9.382000000000001,8.196666666666667,8.8975,8.317142857142859,8.17,9.37142857142857,9.948333333333334
2016-10-07,10.06,8.205,7.8675,9.117708333333333,8.2,8.24,8.7775,10.43,9.865,8.717500000000001,8.823333333333334,9.5375
2016-10-08,6.12,9.005416666666667,8.200000000000001,8.43,8.74,9.24,9.706116071428571,8.41,8.45,10.5175,9.42,9.94
2016-10-09,8.437694444444444,11.114999999999998,8.599895833333335,11.73,10.155000000000001,11.396,9.79,8.89,9.04,9.396666666666667,7.811666666666667,7.924999999999999
2016-10-10,8.140733333333333,8.87,11.33,10.056666666666667,7.59,10.59,10.205,10.825,11.89,10.318000000000001,8.82,9.218
