,0,1,2,3,4,5,6,7,8
2016-09-11,30.5425,33.22,40.145,2.6774999999999984,6.925000000000004,12.918540616751827,37.4675,4.0,27.67633333333334
2016-09-12,23.4175,25.555,27.6925,2.1374999999999993,2.1374999999999993,6.045762979144979,25.555,2.0,23.598000000000003
2016-09-13,16.857499999999998,19.43,22.0075,2.5725000000000016,2.5775000000000006,3.11748295905527,19.435,4.0,27.267297297297294
2016-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.396521739130456
2016-09-15,21.955,23.3,25.365000000000002,1.3450000000000024,2.0650000000000013,5.4431770747116675,23.748333333333335,6.0,29.70533333333334
2016-09-16,15.522499999999999,22.25,25.8575,6.727500000000001,3.6075000000000017,9.664039872986177,19.13,4.0,25.511351351351358
2016-09-17,18.38,20.505000000000003,22.195000000000004,2.1250000000000036,1.6900000000000013,3.9267832467131,19.956666666666667,6.0,29.66297872340425
2016-09-18,32.89,39.45,45.11,6.560000000000002,5.659999999999997,10.849793136788882,38.82888888888889,9.0,28.531627906976748
2016-09-19,20.4825,23.285,26.0875,2.8024999999999984,2.8024999999999984,7.926667017101198,23.285,2.0,25.244102564102565
2016-09-20,17.89,28.22,29.49,10.329999999999998,1.2699999999999996,10.92410408225773,26.103333333333335,9.0,23.858974358974354
2016-09-21,23.737499999999997,32.51,41.69,8.7725,9.18,12.796675023875014,32.9175,4.0,25.65851063829787
2016-09-22,24.619999999999997,24.9,25.655,0.28000000000000114,0.7550000000000026,1.0707162711630631,25.216666666666665,3.0,25.086470588235287
2016-09-23,45.565,56.145,64.8425,10.580000000000005,8.697499999999998,12.770534770843915,54.2625,4.0,27.162380952380957
2016-09-24,18.37,19.685000000000002,20.2875,1.3150000000000013,0.6024999999999991,7.885738392820293,21.755,6.0,33.034285714285716
2016-09-25,17.73,21.619999999999997,28.1675,3.889999999999997,6.547500000000003,24.222232120283405,28.412,10.0,33.942058823529415
2016-09-26,59.17250000000001,87.795,120.535,28.622499999999995,32.739999999999995,46.397224234502076,88.01833333333333,6.0,25.3064
2016-09-27,27.43,36.58,47.692499999999995,9.149999999999999,11.112499999999997,14.979173041259651,38.5425,4.0,27.6796
2016-09-28,59.462500000000006,64.545,69.6275,5.082499999999996,5.082499999999996,14.375480861522504,64.545,2.0,34.22925925925926
2016-09-29,65.0425,73.525,85.875,8.482500000000002,12.349999999999994,25.26338174399574,72.22,8.0,40.078928571428584
2016-09-30,71.46,73.03999999999999,74.62,1.5799999999999983,1.5800000000000125,4.468914857098985,73.03999999999999,2.0,32.07988372093023
2016-10-01,19.8,24.869999999999997,32.4925,5.069999999999997,7.622500000000002,11.980955239943869,26.955000000000002,14.0,23.164857142857144
2016-10-02,18.8,21.89,26.28,3.09,4.390000000000001,8.363774566545896,24.653333333333332,9.0,24.77131578947369
2016-10-03,18.91,19.55,21.28,0.6400000000000006,1.7300000000000004,7.710984755362696,21.782307692307693,13.0,25.058846153846154
2016-10-04,16.4125,17.4,19.5325,0.9874999999999972,2.1325000000000003,13.755541105718493,22.31,10.0,27.35068965517242
2016-10-05,19.810000000000002,22.95,25.71,3.139999999999997,2.7600000000000016,21.207236074150778,29.67428571428571,7.0,34.76444444444444
2016-10-06,19.5275,21.285,22.86,1.7575000000000003,1.5749999999999993,4.214194136750493,21.809,10.0,26.881
2016-10-07,13.82,21.37,21.950000000000003,7.550000000000001,0.5800000000000018,9.071412973364918,16.723333333333333,3.0,24.182978723404254
2016-10-08,44.74,45.61,49.93,0.8699999999999974,4.32,5.574507153103314,45.874,5.0,23.729473684210525
2016-10-09,43.3025,62.040000000000006,81.89500000000001,18.737500000000004,19.855000000000004,29.14626059491452,59.10666666666666,6.0,28.860666666666667
2016-10-10,30.895,39.71,60.325,8.815000000000001,20.615000000000002,30.208247769993765,47.57666666666666,3.0,34.32476190476191
2016-10-11,25.425,27.5,40.205,2.0749999999999993,12.704999999999998,26.085535914153102,37.11875,8.0,26.96317073170732
2016-10-12,35.47,39.3,56.18,3.8299999999999983,16.880000000000003,17.114688704281022,45.67777777777778,9.0,28.144791666666666
2016-10-13,22.6025,35.07,39.045,12.467500000000001,3.9750000000000014,13.382766530131203,33.882,10.0,29.087391304347822
2016-10-14,35.7125,38.3,66.86,2.5874999999999986,28.560000000000002,21.723021352166153,50.14166666666667,6.0,28.73386363636364
2016-10-15,66.2975,110.82,135.475,44.522499999999994,24.655,61.041284048857726,90.95250000000001,4.0,43.229795918367344
2016-10-16,18.22,20.86,25.630000000000003,2.6400000000000006,4.770000000000003,11.729144043791091,25.0,11.0,38.74771929824562
2016-10-17,43.82,46.44,72.18,2.6199999999999974,25.74000000000001,22.478059747229075,59.488,5.0,40.85557692307694
2016-10-18,94.9125,99.92,105.14500000000001,5.007500000000007,5.2250000000000085,13.115927340451377,97.545,6.0,77.35
2016-10-19,47.945,95.28,105.115,47.335,9.834999999999994,32.62983998034402,78.25285714285714,7.0,0.0
2016-10-20,71.85000000000001,75.08000000000001,78.31,3.230000000000004,3.2299999999999898,9.135819612930195,75.08000000000001,2.0,10.75
2016-10-21,32.589999999999996,59.66,81.08,27.07,21.42,27.559343210865634,58.21375,8.0,19.29
2016-10-22,45.73,57.31,76.02,11.580000000000005,18.709999999999994,21.27216796661779,57.326,5.0,0.0
2016-10-23,22.814999999999998,23.68,49.754999999999995,0.865000000000002,26.074999999999996,30.620444695225007,40.48666666666667,3.0,0.0
2016-10-24,55.3,63.30500000000001,65.985,8.00500000000001,2.6799999999999926,13.420161449600128,57.98,4.0,19.64
