,0,1,2,3,4,5
2016-09-11,30.410000000000004,27.439999999999998,24.767500000000002,23.127999999999997,22.875,26.796666666666667
2016-09-12,21.215,22.189999999999998,17.48,21.700000000000003,27.316666666666663,24.09
2016-09-13,27.139999999999997,29.2575,22.913333333333338,20.016,20.912,20.09
2016-09-14,33.88,22.05,22.323333333333334,21.724999999999998,23.346,21.595
2016-09-15,20.69333333333333,21.69333333333333,25.948,32.91,29.95,24.855
2016-09-16,19.58,21.295,24.271818181818176,20.7925,33.464615384615385,24.439999999999998
2016-09-17,21.238,21.25,17.15,30.681666666666672,25.292410256410257,30.074
2016-09-18,19.75,26.8,13.67,22.79,24.485,20.056
2016-09-19,26.47,23.16333333333333,20.363333333333333,22.596666666666664,25.12,25.355
2016-09-20,25.48,23.669999999999998,28.57,22.24,24.536666666666665,28.125
2016-09-21,24.33,20.715,22.94,18.685000000000002,20.525,22.384999999999998
2016-09-22,30.776666666666667,18.62,30.856666666666666,26.44,25.845714285714287,28.87857142857143
2016-09-23,23.30666666666667,19.330000000000002,16.23,21.009999999999998,24.225714285714282,22.67
2016-09-24,21.898000000000003,27.058,26.141666666666666,49.73,23.714285714285715,25.801250000000003
2016-09-25,23.240000000000002,25.18,26.6375,22.665,24.263333333333332,26.418333333333333
2016-09-26,21.945,22.275,14.69,24.964,24.830000000000002,20.5
2016-09-27,22.90857142857143,16.62,23.439999999999998,17.17,22.415,25.115000000000002
2016-09-28,23.002499999999998,20.5525,19.28,27.165,33.167500000000004,20.55333333333333
2016-09-29,21.020000000000003,27.61,22.374000000000002,21.869999999999997,23.926666666666666,24.196666666666662
2016-09-30,18.95,21.821999999999996,20.3075,18.674999999999997,24.023333333333337,22.208333333333332
2016-10-01,22.794,32.629999999999995,33.59666666666667,31.03818181818182,34.31444444444443,37.30090909090909
2016-10-02,19.307272727272725,21.685555555555556,24.262,24.256428571428575,27.264999999999997,26.3425
2016-10-03,22.05,23.5525,23.680000000000003,25.208571428571425,25.41583333333334,33.778749999999995
2016-10-04,24.374999999999996,25.961666666666662,23.12545454545455,23.117272727272727,23.432727272727274,31.21
2016-10-05,19.083333333333332,23.302500000000002,24.762,26.484615384615385,26.422000000000004,30.495454545454546
2016-10-06,16.99,21.052500000000002,24.621249999999993,23.38222222222222,25.969999999999995,27.454166666666666
2016-10-07,19.1175,12.334999999999999,22.869999999999997,19.567999999999998,28.682,22.54
2016-10-08,21.0125,23.03,19.849999999999998,22.684000000000005,30.39,24.983333333333334
2016-10-09,21.927500000000002,19.85,20.54,26.956666666666667,24.753333333333334,21.035
2016-10-10,27.205,19.529999999999998,36.27,24.2,21.665000000000003,25.43625
2016-10-11,18.335,21.900000000000002,22.94,20.516,21.983333333333334,26.5925
2016-10-12,21.066666666666666,23.825,22.557777777777776,25.536666666666665,19.04,26.23
2016-10-13,21.51111111111111,20.887272727272727,21.900000000000002,21.186666666666667,27.71,25.662222222222226
2016-10-14,25.29,22.9525,20.613999999999997,28.197500000000005,20.423333333333336,25.045714285714286
2016-10-15,22.1925,19.246,24.896,26.85666666666667,24.044285714285714,27.548333333333336
2016-10-16,21.145000000000003,23.096666666666664,25.892000000000003,20.7025,21.099999999999998,23.104999999999997
2016-10-17,34.25,21.545609848484848,25.11857142857142,17.03,21.735999999999997,28.276666666666667
2016-10-18,25.719375,21.710194128787876,24.130142857142857,23.19666666666667,21.825904761904763,25.99392857142857
2016-10-19,25.826718749999998,21.399617660984845,25.00917857142857,21.946458333333336,22.176547619047618,26.23098214285714
2016-10-20,26.7352734375,21.938022076231057,25.03747321428571,20.718906250000003,21.70961309523809,25.901644345238097
2016-10-21,28.132841796875,21.648360928622154,24.82384151785714,20.723007812500004,21.862016369047616,26.60080543154762
2016-10-22,26.60355224609375,21.67404869865648,24.75015904017857,21.646259765625004,21.893520461309524,26.181840122767856
2016-10-23,26.824596557617184,21.66501234112363,24.905163085937495,21.258658040364587,21.910424386160713,26.22881801060268
2016-10-24,27.074066009521484,21.731361011158327,24.87915921456473,21.0867079671224,21.843893577938985,26.228276977539064
