,0
0,12.253879310344827
1,11.97525773195876
2,12.994343434343437
3,12.33953488372093
4,12.882898550724638
5,11.90263157894737
6,12.410471698113213
7,11.803052631578947
8,12.811686746987956
9,11.998811881188114
10,11.567809523809526
11,11.907613636363635
12,12.758974358974356
13,12.987173913043485
14,12.582000000000004
15,13.215315315315314
16,12.297796610169494
17,13.286176470588233
18,12.984615384615394
19,13.093450000000008
20,12.092473118279562
21,12.045979381443296
22,10.93406593406593
23,12.45379310344827
24,12.67214611872146
25,12.407614213197965
26,12.306406250000006
27,12.243076923076925
28,11.930582524271848
29,12.823666666666664
30,11.531829268292682
31,11.748103448275865
32,11.87862903225807
33,12.8664
34,14.495454545454544
35,13.102764227642279
36,12.118526315789476
