,0
0,0.9465168539325846
1,0.8895522388059703
2,0.9270967741935486
3,0.8935632183908043
4,0.893
5,0.8778947368421053
6,0.8790909090909091
7,0.8482692307692308
8,0.8581818181818183
9,0.8253125
10,0.8408333333333331
11,0.7882142857142856
12,0.9002702702702705
13,0.9345945945945948
14,0.9582278481012658
15,0.8484745762711864
16,0.8805714285714287
17,0.9050877192982456
18,0.8149275362318841
19,1.0278260869565212
20,0.7934426229508198
21,0.8335483870967741
22,0.8275714285714285
23,0.9379464285714284
24,0.9602366863905324
25,0.904140127388535
26,0.8213095238095236
27,0.8523076923076923
28,0.727017543859649
29,0.8668
30,0.8245000000000001
31,0.8439062499999999
32,0.8965822784810129
33,0.8253086419753084
34,0.8861538461538462
35,0.8784931506849314
36,0.8802173913043475
