,0
0,9.6694
1,7.317058823529411
2,7.748260869565217
3,9.764117647058825
4,7.0754166666666665
5,7.0445161290322575
6,7.6635294117647055
7,7.622666666666666
8,7.3103703703703715
9,8.378437499999999
10,7.787857142857143
11,7.366111111111111
12,7.488809523809523
13,6.908518518518517
14,7.633731343283584
15,7.7628571428571425
16,7.0906666666666665
17,10.37684210526316
18,7.337894736842107
19,8.351
20,6.363396226415093
21,7.026363636363636
22,7.004750000000002
23,7.8916666666666675
24,7.882765957446807
25,7.754358974358975
26,7.214931506849314
27,6.5765217391304365
28,6.3752941176470594
29,6.999199999999999
30,6.356000000000001
31,7.456764705882352
32,7.08875
33,6.7657575757575765
34,6.710789473684211
35,7.476829268292682
36,7.949629629629627
