,pressure,sea_pressure,wind_speed,temperature,rel_humidity,wind_direction,precipitation
2016-07-01,998.7,1003.5,2.7,31.6,59.0,6,0.0
2016-07-02,1001.9,1006.8,2.4,25.9,95.0,8,3.466666666666667
2016-07-03,1000.8,1005.7,1.1,27.7,91.0,5,0.03333333333333333
2016-07-04,998.8,1003.6,1.4,34.8,55.0,7,0.0
2016-07-05,1004.4,1009.3,5.3,28.7,74.0,8,0.2333333333333333
2016-07-06,1004.8,1009.6,2.0,34.2,54.0,3,0.0
2016-07-07,1002.5,1007.3,5.1,31.5,68.0,2,0.0
2016-07-08,999.1,1003.9,3.3,31.5,64.0,2,0.0
2016-07-09,997.9,1002.8,2.7,27.1,92.0,2,2.5
2016-07-10,994.6,999.4,2.9,28.7,81.0,2,0.0
2016-07-11,994.1,998.9,2.4,30.3,80.0,2,0.9
2016-07-12,994.6,999.4,3.1,32.4,69.0,3,0.0
2016-07-13,996.0,1000.8,4.3,32.1,66.0,6,0.0
2016-07-14,997.9,1002.7,3.2,30.0,78.0,7,0.0
2016-07-15,993.4,998.2,5.1,35.7,51.0,5,0.0
2016-07-16,999.9,1004.8,1.7,25.9,87.0,2,0.0
2016-07-17,1000.7,1005.5,1.3,32.6,60.0,6,0.0
2016-07-18,999.1,1003.9,0.8,29.2,83.0,7,0.03333333333333333
2016-07-19,998.7,1003.5,2.0,31.5,69.0,5,0.0
2016-07-20,998.7,1003.5,3.4,37.0,40.0,5,0.0
2016-07-21,1000.2,1005.0,3.2,37.6,42.0,5,0.0
2016-07-22,1000.0,1004.8,1.9,37.2,45.0,6,0.0
2016-07-23,999.7,1004.5,1.6,38.0,45.0,6,0.0
2016-07-24,1001.0,1005.8,0.9,39.4,38.0,4,0.0
2016-07-25,1000.2,1005.0,4.1,37.6,50.0,2,0.0
2016-07-26,998.2,1002.9,1.5,38.8,42.0,7,0.0
2016-07-27,998.7,1003.4,2.8,38.2,42.0,6,0.0
2016-07-28,999.7,1004.5,2.0,38.0,44.0,3,0.0
2016-07-29,1000.3,1005.1,5.4,38.0,44.0,2,0.0
2016-07-30,1000.6,1005.4,2.8,36.1,53.0,2,0.0
2016-07-31,1000.8,1005.6,4.9,34.4,60.0,2,0.0
2016-08-01,1000.1,1004.9,2.1,34.5,59.0,2,0.0
2016-08-02,998.0,1002.8,1.7,34.8,56.0,2,0.0
2016-08-03,1001.8,1006.6,1.7,32.2,63.0,1,0.0
2016-08-04,1001.9,1006.8,2.3,28.1,84.0,4,0.7
