,pressure,sea_pressure,wind_speed,temperature,rel_humidity,wind_direction,precipitation
2016-07-01,998.8,1003.6,1.9,26.0,89.0,5,0.0
2016-07-02,1000.9,1005.8,0.7,25.4,96.0,5,0.0
2016-07-03,1000.5,1005.4,0.7,25.7,98.0,8,0.13333333333333333
2016-07-04,1000.8,1005.6,2.2,27.7,80.0,5,0.0
2016-07-05,1006.5,1011.3,1.0,24.7,96.0,5,0.0
2016-07-06,1005.5,1010.3,2.8,27.3,92.0,7,0.0
2016-07-07,1002.4,1007.2,2.1,27.1,89.0,2,0.0
2016-07-08,999.3,1004.1,1.9,27.2,86.0,2,0.0
2016-07-09,997.1,1001.9,2.8,26.8,91.0,2,0.0
2016-07-10,995.5,1000.3,0.7,27.0,95.0,2,0.03333333333333333
2016-07-11,994.4,999.2,2.0,26.3,97.0,5,0.0
2016-07-12,995.4,1000.2,2.7,27.8,93.0,5,0.0
2016-07-13,998.1,1002.9,1.4,28.1,90.0,5,0.0
2016-07-14,997.7,1002.5,1.4,27.3,91.0,5,0.0
2016-07-15,995.9,1000.6,1.9,29.4,80.0,7,0.09999999999999999
2016-07-16,1002.2,1007.1,1.4,25.0,93.0,6,0.0
2016-07-17,1001.5,1006.3,1.5,26.9,94.0,6,0.0
2016-07-18,1000.4,1005.2,0.3,24.8,91.0,6,0.0
2016-07-19,999.6,1004.4,2.1,27.7,88.0,5,0.0
2016-07-20,1000.9,1005.7,2.5,29.0,69.0,5,0.0
2016-07-21,1001.7,1006.5,2.4,29.9,70.0,5,0.0
2016-07-22,1000.9,1005.7,2.1,29.8,74.0,5,0.0
2016-07-23,1001.6,1006.3,1.1,31.1,71.0,5,0.0
2016-07-24,1002.2,1006.9,0.5,31.1,72.0,3,0.0
2016-07-25,1000.9,1005.6,1.4,31.2,76.0,5,0.0
2016-07-26,1000.0,1004.7,1.3,30.2,75.0,5,0.0
2016-07-27,1001.1,1005.8,0.9,30.1,69.0,7,0.0
2016-07-28,1001.3,1006.0,2.7,30.7,70.0,6,0.0
2016-07-29,1001.5,1006.2,0.9,30.9,71.0,6,0.0
2016-07-30,1002.7,1007.5,2.4,30.7,68.0,4,0.0
2016-07-31,1002.2,1007.0,1.9,29.2,70.0,3,0.0
2016-08-01,1001.2,1006.0,2.5,30.3,69.0,4,0.0
2016-08-02,1002.5,1007.3,1.8,24.7,96.0,5,1.3
2016-08-03,1002.8,1007.6,1.8,26.0,85.0,6,0.0
2016-08-04,1004.0,1008.8,1.5,25.2,95.0,5,0.0
2016-08-05,1001.5,1006.3,2.4,28.6,83.0,7,0.0
2016-08-06,998.7,1003.5,1.4,27.7,81.0,3,0.0
2016-08-07,999.4,1004.2,1.6,27.8,74.0,2,0.0
2016-08-08,999.7,1004.5,1.2,28.1,77.0,3,0.2333333333333333
2016-08-09,1000.0,1004.8,1.3,27.9,91.0,3,0.0
2016-08-10,1002.1,1006.9,1.4,28.0,86.0,2,0.0
2016-08-11,1001.7,1006.5,1.0,29.0,85.0,3,0.0
2016-08-12,999.9,1004.7,0.7,28.4,83.0,6,0.0
2016-08-13,999.1,1003.9,1.1,29.2,81.0,3,0.0
2016-08-14,997.9,1002.7,1.0,28.8,82.0,8,0.0
2016-08-15,997.0,1001.8,1.9,29.1,84.0,7,0.0
2016-08-16,997.3,1002.1,2.1,29.5,83.0,2,0.0
2016-08-17,996.7,1001.5,1.7,29.6,78.0,1,0.0
2016-08-18,997.3,1002.0,0.4,29.9,83.0,5,0.0
2016-08-19,998.9,1003.6,0.9,29.7,76.0,8,0.0
2016-08-20,998.3,1003.0,0.7,29.0,78.0,6,0.0
2016-08-21,1001.1,1005.9,1.5,27.3,93.0,8,0.0
2016-08-22,1001.9,1006.7,0.5,28.1,84.0,6,0.0
2016-08-23,1000.2,1005.0,1.9,28.6,79.0,3,0.0
2016-08-24,999.7,1004.5,1.5,27.0,76.0,2,0.0
2016-08-25,1000.2,1005.0,1.9,29.5,82.0,2,0.0
2016-08-26,1005.2,1010.0,3.0,25.8,77.0,8,0.0
2016-08-27,1004.5,1009.4,4.3,24.4,60.0,8,0.0
2016-08-28,1004.7,1009.6,2.1,22.8,58.0,7,0.0
2016-08-29,1004.1,1009.0,1.7,22.5,58.0,7,0.0
2016-08-30,1000.8,1005.7,2.9,23.0,60.0,5,0.0
2016-08-31,997.8,1002.6,1.7,25.4,60.0,6,0.0
2016-09-01,997.6,1002.5,3.3,22.8,73.0,5,0.0
2016-09-02,1000.5,1005.3,1.4,25.1,73.0,8,0.0
2016-09-03,1004.2,1009.0,1.8,24.5,82.0,2,0.0
2016-09-04,1004.7,1009.6,1.5,26.2,77.0,2,0.0
2016-09-05,1005.2,1010.1,1.6,26.7,85.0,2,0.13333333333333333
2016-09-06,1003.0,1007.9,2.9,21.1,95.0,8,0.16666666666666666
2016-09-07,1004.0,1009.0,0.8,21.5,94.0,1,0.0
2016-09-08,1005.4,1010.3,1.6,22.6,85.0,8,0.0
2016-09-09,1005.0,1009.9,3.6,24.9,80.0,8,0.0
2016-09-10,1006.3,1011.2,0.8,24.0,74.0,1,0.03333333333333333
2016-09-11,1010.2,1015.2,1.8,19.6,95.0,8,0.0
2016-09-12,1011.9,1016.9,2.0,22.0,87.0,8,0.0
2016-09-13,1011.3,1016.3,1.6,19.8,95.0,8,3.1333333333333333
2016-09-14,1007.7,1012.7,2.4,22.1,98.0,8,0.5
2016-09-15,1002.3,1007.2,1.6,22.9,97.0,3,1.6666666666666667
2016-09-16,1003.7,1008.6,3.2,22.7,86.0,8,0.0
2016-09-17,1005.8,1010.7,3.7,23.1,84.0,8,0.0
2016-09-18,1006.8,1011.7,2.8,21.8,76.0,8,0.0
2016-09-19,1011.1,1016.1,2.4,20.2,75.0,8,0.0
2016-09-20,1013.8,1018.8,1.4,19.4,74.0,8,0.0
2016-09-21,1013.1,1018.1,1.7,20.2,94.0,8,0.0
2016-09-22,1011.6,1016.5,1.1,21.9,84.0,1,0.0
2016-09-23,1008.8,1013.7,1.8,21.4,88.0,8,0.0
2016-09-24,1007.1,1012.0,1.4,21.9,91.0,8,0.0
2016-09-25,1007.2,1012.1,0.9,22.8,87.0,1,0.0
2016-09-26,1005.7,1010.6,1.3,24.7,92.0,2,0.0
2016-09-27,1004.2,1009.1,1.7,26.2,95.0,2,0.39999999999999997
2016-09-28,1005.6,1010.5,5.5,22.0,94.0,1,0.5666666666666667
2016-09-29,1006.4,1011.4,1.8,19.6,97.0,8,0.06666666666666667
2016-09-30,1008.8,1013.8,0.9,20.9,96.0,8,0.0
2016-10-01,1008.3,1013.2,0.8,23.5,95.0,8,0.0
2016-10-02,1005.5,1010.4,1.0,22.7,91.0,1,0.0
2016-10-03,1007.7,1012.7,1.3,20.8,80.0,8,0.0
2016-10-04,1006.6,1011.6,2.0,20.3,90.0,8,0.0
2016-10-05,1012.0,1016.9,2.0,24.2,86.0,2,0.0
2016-10-06,1012.8,1017.8,1.5,20.9,80.0,1,0.0
2016-10-07,1008.1,1013.1,4.1,20.4,97.0,8,1.2999999999999998
2016-10-08,1014.9,1020.0,2.4,16.4,73.0,8,0.0
2016-10-09,1015.4,1020.5,1.3,15.4,67.0,1,0.0
2016-10-10,1015.4,1020.5,1.3,15.4,67.0,1,0.0
2016-10-11,1015.7,1020.7,2.3,18.8,73.0,8,0.0
2016-10-12,1016.1,1021.1,1.9,18.9,83.0,8,0.0
2016-10-13,1015.8,1020.9,1.5,19.1,75.0,8,0.09999999999999999
2016-10-14,1015.4,1020.5,1.1,18.4,89.0,5,0.0
2016-10-15,1012.9,1017.9,1.7,19.7,97.0,5,0.0
2016-10-16,1014.5,1019.5,2.0,21.3,83.0,8,0.0
2016-10-17,1014.0,1019.0,1.5,19.1,92.0,8,0.0
2016-10-18,1012.1,1017.1,2.3,20.0,96.0,3,0.4666666666666667
2016-10-19,1010.1,1015.1,0.5,20.7,97.0,8,0.1
2016-10-20,1007.3,1012.3,1.6,21.7,93.0,3,0.26666666666666666
2016-10-21,1005.3,1010.3,2.5,21.0,98.0,8,1.5333333333333332
2016-10-22,1005.3,1010.3,6.0,20.8,95.0,1,0.09999999999999999
2016-10-23,1011.0,1016.0,0.8,19.3,92.0,1,0.0
2016-10-24,1007.3,1012.3,3.0,20.7,94.0,6,0.0
