,pressure,sea_pressure,wind_speed,temperature,rel_humidity,wind_direction,precipitation
2016-07-01,998.8333333333333,1003.6333333333333,2.8333333333333335,31.666666666666664,64.33333333333333,5,0.0
2016-07-02,1001.5,1006.4000000000001,2.2666666666666666,28.166666666666668,85.0,1,6.8
2016-07-03,1000.8,1005.7,1.5666666666666667,27.5,91.66666666666667,5,0.06666666666666667
2016-07-04,999.4000000000001,1004.2,1.5999999999999999,34.733333333333334,55.66666666666667,5,0.0
2016-07-05,1003.9333333333334,1008.7666666666667,3.9,32.766666666666666,60.0,6,0.0
2016-07-06,1005.8666666666666,1010.6666666666667,2.1333333333333333,34.53333333333334,54.0,3,0.0
2016-07-07,1003.3,1008.1,3.5,32.099999999999994,68.66666666666667,3,0.0
2016-07-08,1000.0333333333333,1004.8333333333333,4.166666666666666,30.233333333333334,70.0,3,0.0
2016-07-09,998.0333333333333,1002.8666666666667,3.8333333333333335,29.1,80.0,2,4.866666666666666
2016-07-10,994.8,999.6,2.7666666666666666,29.3,82.33333333333334,2,0.0
2016-07-11,994.5666666666666,999.3666666666666,1.2666666666666666,30.43333333333333,78.66666666666667,4,0.0
2016-07-12,994.8,999.6,2.2333333333333334,33.93333333333334,63.0,4,0.0
2016-07-13,995.6666666666666,1000.4666666666667,3.033333333333333,34.63333333333333,59.333333333333336,5,0.0
2016-07-14,997.3666666666667,1002.1666666666666,3.2666666666666666,31.400000000000002,70.66666666666666,8,0.0
2016-07-15,994.2,999.0,3.2333333333333334,36.1,51.666666666666664,5,0.0
2016-07-16,1000.3666666666668,1005.2666666666667,0.8333333333333333,25.5,89.0,5,0.0
2016-07-17,1001.3666666666668,1006.1666666666667,1.4333333333333333,32.06666666666666,61.333333333333336,5,0.0
2016-07-18,999.3,1004.1,1.6666666666666667,32.06666666666666,65.66666666666667,1,0.0
2016-07-19,999.3666666666668,1004.1666666666666,1.9333333333333331,31.7,65.66666666666666,6,0.0
2016-07-20,998.7,1003.5,4.266666666666667,37.06666666666667,40.666666666666664,5,0.0
2016-07-21,1001.0666666666666,1005.8666666666667,4.2,37.333333333333336,43.33333333333333,5,0.0
2016-07-22,1000.6666666666667,1005.4666666666667,3.033333333333333,37.46666666666667,45.0,5,0.0
2016-07-23,1000.2333333333333,1005.0333333333333,1.7333333333333334,38.199999999999996,43.0,5,0.0
2016-07-24,1001.4000000000001,1006.1333333333333,1.4333333333333333,39.0,39.333333333333336,6,0.0
2016-07-25,1000.7333333333333,1005.4666666666667,2.6999999999999997,38.4,45.333333333333336,4,0.0
2016-07-26,998.7333333333333,1003.4333333333334,1.9666666666666668,38.53333333333333,42.66666666666667,6,0.0
2016-07-27,998.7666666666667,1003.4666666666667,2.0666666666666664,38.46666666666667,42.0,5,0.0
2016-07-28,1000.1,1004.8333333333333,2.8666666666666663,38.4,43.333333333333336,4,0.0
2016-07-29,1000.7666666666667,1005.5,3.4,38.199999999999996,43.333333333333336,2,0.0
2016-07-30,1001.6000000000001,1006.4,3.5999999999999996,36.7,49.0,2,0.0
2016-07-31,1001.5999999999999,1006.3999999999999,3.9000000000000004,35.33333333333333,52.666666666666664,2,0.0
2016-08-01,1000.7666666666667,1005.5666666666666,2.3666666666666667,34.43333333333334,57.0,2,0.0
2016-08-02,999.0,1003.8,2.433333333333333,36.46666666666666,48.0,4,0.0
2016-08-03,1002.2,1007.0,2.3666666666666667,32.733333333333334,62.333333333333336,3,0.0
2016-08-04,1002.1666666666665,1007.0,2.3,32.56666666666666,63.333333333333336,6,0.4666666666666666
2016-08-05,1001.4666666666667,1006.2666666666667,1.0666666666666667,33.300000000000004,59.33333333333333,2,0.0
2016-08-06,998.8333333333333,1003.6333333333332,0.5666666666666667,28.833333333333336,84.33333333333333,3,0.0
2016-08-07,997.5,1002.3,4.766666666666667,34.166666666666664,56.0,2,0.0
2016-08-08,998.2,1003.0,4.366666666666666,34.03333333333334,51.66666666666667,2,0.0
2016-08-09,998.3,1003.1333333333334,2.4,30.666666666666664,76.0,2,1.8
2016-08-10,1000.0,1004.8,3.6333333333333333,33.36666666666666,65.66666666666667,2,0.0
2016-08-11,1001.4666666666667,1006.2666666666667,3.533333333333333,33.7,59.666666666666664,2,0.0
2016-08-12,999.5333333333333,1004.3333333333335,3.166666666666667,33.86666666666667,63.0,2,0.0
2016-08-13,998.5,1003.3,1.9333333333333331,34.5,62.0,3,0.0
2016-08-14,997.8333333333333,1002.6333333333334,2.7666666666666666,35.233333333333334,52.0,2,0.0
2016-08-15,996.2666666666667,1001.0666666666666,1.8666666666666667,35.8,53.33333333333333,2,0.0
2016-08-16,996.4666666666667,1001.2666666666667,3.2666666666666666,35.633333333333326,49.0,2,0.0
2016-08-17,995.8333333333333,1000.6333333333332,3.166666666666667,35.53333333333333,52.33333333333333,3,0.0
2016-08-18,995.5666666666666,1000.3,3.5,36.63333333333333,48.0,4,0.0
2016-08-19,996.9333333333333,1001.6666666666667,2.7666666666666666,36.63333333333333,48.0,3,0.0
2016-08-20,997.0333333333333,1001.7666666666667,2.5,36.5,52.333333333333336,8,0.0
2016-08-21,998.5666666666666,1003.3666666666668,2.966666666666667,32.0,71.66666666666666,8,18.133333333333333
2016-08-22,1000.8333333333333,1005.6333333333334,3.8666666666666663,34.13333333333333,59.33333333333333,3,0.0
2016-08-23,1000.2333333333333,1005.0333333333333,1.5333333333333332,33.233333333333334,62.0,3,0.0
2016-08-24,998.6333333333333,1003.4333333333334,2.433333333333333,34.46666666666667,50.0,4,0.0
2016-08-25,997.8666666666666,1002.6666666666667,3.9,34.96666666666667,44.0,2,0.0
2016-08-26,1001.4333333333334,1006.2333333333333,5.3,33.233333333333334,55.66666666666667,1,0.0
2016-08-27,1003.5,1008.4,4.3999999999999995,29.300000000000004,48.66666666666667,8,0.0
2016-08-28,1003.5999999999999,1008.5,5.366666666666667,30.833333333333336,28.333333333333332,1,0.0
2016-08-29,1003.0999999999999,1008.0,2.6999999999999997,30.066666666666666,36.33333333333333,3,0.0
2016-08-30,1000.5333333333333,1005.4333333333334,4.366666666666667,30.799999999999997,33.333333333333336,8,0.0
2016-08-31,996.8333333333335,1001.6666666666667,3.466666666666667,32.33333333333333,32.0,6,0.0
2016-09-01,995.6333333333333,1000.4333333333334,5.033333333333333,30.133333333333333,45.66666666666667,5,0.0
2016-09-02,997.6333333333333,1002.4333333333334,2.6333333333333337,33.96666666666667,36.0,3,0.0
2016-09-03,1001.6333333333334,1006.4666666666667,2.933333333333333,33.43333333333333,25.666666666666664,3,0.0
2016-09-04,1004.0666666666666,1008.9666666666667,2.666666666666667,30.433333333333334,59.33333333333333,3,0.0
2016-09-05,1005.0666666666667,1009.9666666666667,2.933333333333333,30.066666666666663,58.33333333333333,2,0.0
2016-09-06,1004.9,1009.8,3.5000000000000004,24.733333333333334,72.33333333333333,8,0.0
2016-09-07,1003.3666666666667,1008.3666666666666,1.7000000000000002,23.0,83.66666666666667,7,0.0
2016-09-08,1004.3666666666667,1009.2666666666667,2.033333333333333,28.766666666666666,57.0,3,0.0
2016-09-09,1004.6333333333334,1009.5333333333333,2.7666666666666666,30.5,52.333333333333336,2,0.0
2016-09-10,1005.0666666666666,1009.9666666666667,2.033333333333333,28.133333333333333,54.66666666666667,3,0.0
2016-09-11,1008.3333333333333,1013.3333333333333,2.5,21.833333333333332,77.0,4,0.19999999999999998
2016-09-12,1009.8999999999999,1014.9,1.2999999999999998,27.96666666666667,55.66666666666667,3,0.0
2016-09-13,1011.4666666666667,1016.4666666666667,1.9333333333333331,25.099999999999998,74.66666666666667,3,0.26666666666666666
2016-09-14,1009.4666666666667,1014.4666666666667,3.0666666666666664,21.700000000000003,97.0,8,0.3333333333333333
2016-09-15,1004.9000000000001,1009.8,4.133333333333334,24.266666666666666,95.0,2,4.866666666666666
2016-09-16,999.6333333333333,1004.5333333333333,2.2666666666666666,26.5,84.66666666666667,5,0.06666666666666667
2016-09-17,1005.1333333333333,1010.0333333333333,4.7,27.16666666666667,66.33333333333333,8,0.0
2016-09-18,1004.6000000000001,1009.5,4.666666666666667,27.73333333333333,55.33333333333333,1,0.0
2016-09-19,1007.7,1012.6333333333333,5.9,25.8,61.333333333333336,1,0.06666666666666667
2016-09-20,1012.3333333333335,1017.3333333333333,4.566666666666666,26.4,42.66666666666667,1,0.0
2016-09-21,1013.1333333333333,1018.1333333333334,2.5,25.766666666666666,59.66666666666667,8,0.0
2016-09-22,1010.7333333333333,1015.7333333333333,2.4,28.066666666666666,55.0,3,0.0
2016-09-23,1008.3333333333333,1013.2666666666667,3.166666666666667,28.733333333333334,55.66666666666667,3,0.0
2016-09-24,1006.5,1011.4000000000001,4.266666666666667,29.0,58.0,2,0.0
2016-09-25,1006.4666666666667,1011.3666666666666,2.8666666666666667,29.566666666666666,57.666666666666664,2,0.0
2016-09-26,1005.4666666666667,1010.3666666666666,3.5999999999999996,29.833333333333332,59.333333333333336,2,0.0
2016-09-27,1004.4,1009.3000000000001,3.8,30.3,66.0,3,0.0
2016-09-28,1003.5333333333334,1008.4333333333334,6.7,25.699999999999996,93.66666666666666,2,0.8666666666666667
2016-09-29,1006.3999999999999,1011.4,5.933333333333334,20.866666666666667,95.33333333333334,8,0.9333333333333332
2016-09-30,1005.7333333333333,1010.7333333333333,1.8333333333333335,24.5,80.33333333333334,3,0.0
2016-10-01,1007.9000000000001,1012.8,1.2999999999999998,27.566666666666666,74.66666666666667,5,0.0
2016-10-02,1004.3,1009.2,1.9999999999999998,31.83333333333333,56.666666666666664,5,0.0
2016-10-03,1005.9333333333334,1010.8666666666668,2.9333333333333336,25.0,74.33333333333333,1,0.0
2016-10-04,1005.3666666666668,1010.3666666666666,1.3666666666666667,24.299999999999997,72.33333333333334,8,0.0
2016-10-05,1009.2666666666667,1014.2666666666667,1.9333333333333331,26.5,64.0,3,0.0
2016-10-06,1013.6666666666667,1018.6666666666666,2.0666666666666664,23.599999999999998,77.66666666666666,2,0.0
2016-10-07,1008.9666666666667,1013.9666666666667,2.166666666666667,20.133333333333333,96.33333333333334,7,0.0
2016-10-08,1010.4333333333334,1015.4333333333334,3.466666666666667,21.566666666666666,74.66666666666667,1,0.0
