,0
0,27.67633333333334
1,23.598000000000006
2,27.267297297297286
3,32.396521739130456
4,29.70533333333334
5,25.51135135135136
6,29.66297872340425
7,28.53162790697675
8,25.24410256410257
9,23.858974358974358
10,25.658510638297873
11,25.086470588235287
12,27.162380952380964
13,33.034285714285716
14,33.94205882352941
15,25.3064
16,27.6796
17,34.229259259259265
18,40.07892857142858
19,32.079883720930226
20,23.164857142857148
21,24.77131578947369
22,25.058846153846154
23,27.35068965517242
24,34.76444444444444
25,26.881
26,24.18297872340425
27,23.729473684210525
28,28.86066666666667
29,34.324761904761914
30,26.96317073170732
31,28.144791666666666
32,29.087391304347825
33,28.73386363636364
34,43.22979591836735
35,38.74771929824561
36,40.85557692307694
