,0
0,30.489428571428572
1,20.950000000000006
2,27.80866666666667
3,29.14000000000001
4,35.44
5,22.24
6,22.060370370370368
7,19.915757575757578
8,21.63555555555555
9,19.442352941176477
10,32.69714285714285
11,22.42083333333333
12,27.486666666666665
13,19.613200000000006
14,22.58583333333334
15,19.512777777777774
16,26.67642857142857
17,20.958461538461545
18,26.013333333333332
19,25.671276595744683
20,19.07958333333333
21,17.752162162162165
22,20.684146341463414
23,18.93606060606061
24,17.548846153846153
25,18.189
26,20.11974358974359
27,21.88357142857143
28,22.66066666666667
29,24.575
30,22.249
31,22.67263157894737
32,25.767916666666668
33,26.032631578947374
34,26.27794117647059
35,26.305806451612906
36,25.38142857142857
