,0
0,0.9382142857142858
1,0.913125
2,1.0542105263157897
3,0.9648936170212764
4,0.9969696969696972
5,0.963
6,0.9209999999999998
7,0.938
8,1.1281578947368422
9,0.9789189189189188
10,0.971063829787234
11,0.9779411764705882
12,0.9892682926829269
13,1.1314285714285717
14,0.934375
15,0.9640816326530612
16,0.9369387755102041
17,1.0024000000000002
18,0.9477777777777779
19,1.136024096385542
20,1.0297142857142856
21,0.8720512820512819
22,1.0548000000000002
23,0.996875
24,1.0365853658536583
25,1.0668421052631578
26,0.9674468085106386
27,0.8369230769230771
28,0.9015217391304348
29,0.99375
30,0.8807499999999999
31,0.9437254901960788
32,0.8947619047619048
33,0.9409090909090908
34,0.9772916666666664
35,1.0505660377358492
36,1.0140740740740743
