,0
0,6.270252100840336
1,6.175959595959599
2,6.419899999999998
3,6.532692307692307
4,6.127142857142857
5,6.0615189873417705
6,6.095619047619048
7,6.4207142857142845
8,7.102530120481928
9,6.198585858585856
10,6.129719626168223
11,6.3282954545454535
12,6.663983050847456
13,6.714666666666668
14,6.077500000000002
15,6.42536363636364
16,6.555714285714287
17,6.821999999999997
18,6.57495145631068
19,7.079901477832509
20,6.1083333333333325
21,5.802799999999999
22,5.87375
23,7.0117037037037075
24,7.243055555555554
25,7.050594059405937
26,6.5948062015503846
27,6.352345679012344
28,6.214803921568628
29,6.7449450549450525
30,6.051707317073171
31,6.089824561403511
32,6.18531746031746
33,6.360325203252032
34,6.722196969696971
35,6.716810344827588
36,6.45673469387755
