,0
0,19.135517241379308
1,18.385312499999994
2,22.03447368421052
3,18.87145833333333
4,22.1053125
5,18.907948717948717
6,19.674038461538466
7,19.760909090909095
8,22.584324324324328
9,19.26942857142857
10,19.635106382978726
11,19.667272727272728
12,19.864
13,24.752881355932196
14,21.278437499999995
15,21.528000000000002
16,19.041960784313726
17,19.97641509433962
18,20.45071428571429
19,20.266117647058824
20,17.876470588235296
21,16.343684210526312
22,19.717307692307696
23,18.437
24,20.958139534883717
25,19.68425
26,19.072340425531927
27,18.205
28,18.611777777777775
29,20.914634146341463
30,18.59075
31,19.38313725490196
32,19.0068085106383
33,18.42454545454545
34,21.691428571428567
35,21.86618181818182
36,20.570188679245273
