,0
0,22.562068965517245
1,18.056666666666665
2,18.758000000000006
3,48.55173913043478
4,24.71363636363636
5,16.951875
6,16.271785714285713
7,17.259999999999998
8,17.23857142857143
9,17.545454545454547
10,15.926666666666668
11,16.095555555555556
12,18.383000000000006
13,18.16962962962963
14,18.483888888888885
15,17.410999999999998
16,16.505384615384614
17,18.29846153846153
18,17.53
19,19.89195652173913
20,15.541600000000004
21,16.63051282051282
22,15.500487804878045
23,15.990882352941178
24,17.53192307692308
25,16.322857142857142
26,18.6505
27,15.523636363636365
28,19.38111111111111
29,16.767333333333333
30,16.682307692307695
31,16.994999999999994
32,17.156521739130437
33,16.993636363636366
34,18.220277777777774
35,17.855588235294118
36,16.911666666666665
