,0
0,38.47779069767441
1,32.847352941176474
2,29.104285714285716
3,35.88195402298851
4,37.380249999999975
5,31.848461538461546
6,30.64290909090909
7,26.734339622641517
8,27.73847826086957
9,27.638253968253967
10,32.17590163934426
11,30.802909090909086
12,34.42423076923077
13,36.8190243902439
14,34.10037500000001
15,29.58803278688525
16,29.263043478260865
17,33.431320754716985
18,29.265277777777786
19,48.80114035087715
20,20.757833333333334
21,18.24322580645161
22,20.1775
23,21.671238938053094
24,23.882196531791898
25,25.689308176100624
26,20.331624999999995
27,27.861707317073172
28,31.431166666666666
29,32.53666666666666
30,29.548974358974363
31,33.3211475409836
32,32.212560975609755
33,34.055853658536584
34,37.08025316455697
35,31.8519178082192
36,26.60200000000001
